賃料（下限）	cond[monthmoneyroom]	下限なし	3.0万円	3.5万円	4.0万円	4.5万円	5.0万円	5.5万円	6.0万円	6.5万円	7.0万円	7.5万円	8.0万円	8.5万円	9.0万円	9.5万円	10万円	11万円	12万円	13万円	14万円	15万円	16万円	17万円	18万円	19万円	20万円	30万円	50万円	100万円
特優賃（特定優良賃貸住宅）value	cond[mcf][121101]	0	1																											
ガスコンロ設置済	cond[mcf][230101]	0	1																											
ガスコンロ設置済value	cond[mcf][230101]	0	1																											
IHコンロ	cond[mcf][230103]	0	1																											
IHコンロvalue	cond[mcf][230103]	0	1																											
コンロ二口以上	cond[mcf][230301]	0	1																											
コンロ二口以上value	cond[mcf][230301]	0	1																											
システムキッチン	cond[mcf][230401]	0	1																											
システムキッチンvalue	cond[mcf][230401]	0	1																											
カウンターキッチン	cond[mcf][230501]	0	1																											
カウンターキッチンvalue	cond[mcf][230501]	0	1																											
イレ	バス・トイレ別	cond[mcf][220301]	0	1																											
バス・トイレ別value	cond[mcf][220301]	0	1																											
追い焚き	cond[mcf][220401]	0	1																											
追い焚きvalue	cond[mcf][220401]	0	1																											
温水洗浄便座	cond[mcf][220701]	0	1																											
温水洗浄便座value	cond[mcf][220701]	0	1																											
浴室乾燥機	cond[mcf][220801]	0	1																											
浴室乾燥機value	cond[mcf][220801]	0	1																											
独立洗面台	cond[mcf][223101]	0	1																											
独立洗面台value	cond[mcf][223101]	0	1																											
室内洗濯機置場	cond[mcf][290901]	0	1																											
室内洗濯機置場value	cond[mcf][290901]	0	1																											
ティ	オートロック	cond[mcf][310101]	0	1																											
オートロックvalue	cond[mcf][310101]	0	1																											
TVモニタ付インターホン	cond[mcf][310501]	0	1																											
TVモニタ付インターホンvalue	cond[mcf][310501]	0	1																											
管理人常駐	cond[mcf][313201]	0	1																											
管理人常駐value	cond[mcf][313201]	0	1																											
宅配ボックス	cond[mcf][321101]	0	1																											
宅配ボックスvalue	cond[mcf][321101]	0	1																											
ガス暖房	cond[mcf][240102]	0	1																											
ガス暖房value	cond[mcf][240102]	0	1																											
石油暖房	cond[mcf][240103]	0	1																											
石油暖房value	cond[mcf][240103]	0	1																											
エアコン	cond[mcf][240104]	0	1																											
エアコンvalue	cond[mcf][240104]	0	1																											
床暖房	cond[mcf][240201]	0	1																											
床暖房value	cond[mcf][240201]	0	1																											
ービス	都市ガス	cond[mcf][210201]	0	1																											
都市ガスvalue	cond[mcf][210201]	0	1																											
オール電化	cond[mcf][210401]	0	1																											
オール電化value	cond[mcf][210401]	0	1																											
フローリング	cond[mcf][290101]	0	1																											
